file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	hospital	read_length	source_center	date_of_shipment	experimental_protocol_type	normal_control_proximity_to_tumor	platform	experimental_strategy	tumor_sample_weight	ratio_28s_18s	a260_a280_ratio	percent_gc_content0	library_name	instrument_model	design	center_name	volume	quantity	concentration	necrosis_percent	tumor_nuclei_percent
3bceaca1-2334-46ed-9267-b2710a5471fe	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1873	Vanderbilt University	48	22	2011-07-06	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	100	1.93	1.7	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	20	80
aeed3e65-9805-4114-b244-93d604056477	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2016	MD Anderson Cancer Center	48	22	2011-10-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.65	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	30	70
51c733f7-74ee-4f18-8d37-a995d348ce07	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A30B	ABS - IUPUI	48	23	2013-06-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	170	2.1	1.86	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	55
9b8be750-3904-4fbf-960d-38492be9898d	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2132	MD Anderson Cancer Center	48	22	2012-01-11	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.41	NA	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	30	70
27c4de2c-0e0d-42f1-8e8c-0f3fb6965a45	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1915	Greater Poland Cancer Center	48	22	2011-07-27	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	182	1.63	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	5	90
98fdc192-ad6d-4a92-8827-fa2ea8c61615	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1686	MD Anderson Cancer Center	48	22	2011-04-20	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.21	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.27	0.16	20	80
a4f64d54-3049-47d2-8ab9-af602629a253	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1686	MD Anderson Cancer Center	48	22	2011-04-20	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.32	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	20	80
c5e3fe43-41d2-41f5-bd7e-d281fffd8d86	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1873	University Of Michigan	48	22	2011-07-06	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	120	1.43	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	0	90
d7f94132-7d2a-41af-b507-b59844a0f9ba	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1686	MD Anderson Cancer Center	48	22	2011-04-20	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.71	1.8	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	30	70
e63a634b-a906-4559-a4c7-f70fa0b33801	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2081	Medical College of Georgia	48	22	2011-12-14	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.91	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	10	85
c65a6586-c434-40ff-9ef0-fdb2c9518c11	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1514	University of Pittsburgh	48	22	2011-01-19	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	267	1.79	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	30	70
0a5bc877-cd7c-4b76-bce7-4fb63e958d45	RNA-Seq	TCGA-HNSC	Solid Tissue Normal	NO	2132	MD Anderson Cancer Center	48	22	2012-01-11	mirVana (Allprep DNA) RNA	Distal (>2cm)	Illumina	RNA-Seq	NA	1.2	NA	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	NA	NA
6a4a9e3b-872e-446b-b4ef-d632710c4465	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A34R	University of Minnesota	48	23	2013-11-25	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	170	1.37	1.81	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	1.95	0.15	5	50
ed8f13de-36b2-4da3-af96-c2afc4021b37	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1436	UNC	48	22	2010-11-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	88	1.7	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	5	90
779333d5-faf9-4509-b05a-ab59c0d9a5ad	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1436	University of Pittsburgh	50	22	2010-11-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	217	1.7	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	30	70
c3d363d0-e7e2-4a4c-9107-e70c26003707	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A24Z	University Health Network, Toronto	48	23	2012-12-19	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	77	1.7	1.84	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	5	70
ba99454d-563c-4fcd-bbca-2b7202528618	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2016	MD Anderson Cancer Center	48	22	2011-10-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.34	1.7	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	1.86	0.14	30	70
fcdd5ea4-fb45-42dd-95e6-ec010850815c	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A31N	Greater Poland Cancer Center	48	23	2013-07-24	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	100	1.67	1.82	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	5	99
3436deec-b6e5-4a62-b7c8-779317cfa3da	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2016	MD Anderson Cancer Center	48	22	2011-10-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.5	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	30	70
b6c5a51c-ea4c-47f3-ab09-34d63a75639a	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A31N	UNC	48	23	2013-07-24	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	233	2.11	1.88	53	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	10	60
85b54397-91fc-4438-80cc-6ef04a91ff4e	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A34R	Barretos Cancer Hospital	48	23	2013-11-25	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	113	1.91	1.98	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.34	0.18	15	70
826418de-b8b3-4c59-a39f-03f308fbf5b4	RNA-Seq	TCGA-HNSC	Solid Tissue Normal	NO	2016	MD Anderson Cancer Center	48	22	2011-10-12	mirVana (Allprep DNA) RNA	Distal (>2cm)	Illumina	RNA-Seq	NA	1.18	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	NA	NA
fa02473b-7991-43bf-aceb-d29ae5b49176	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1686	MD Anderson Cancer Center	48	22	2011-04-20	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.3	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.27	0.16	30	70
d36cc023-ecbc-495e-b7ff-e13af46cd32b	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2403	University Health Network, Toronto	48	22	2012-09-10	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	91	2.02	NA	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	0	90
7fa00ff2-0c39-48c2-9795-0fd07e62e67a	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A34R	Barretos Cancer Hospital	48	23	2013-11-25	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	158	1.35	1.85	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	90
a664b48e-e4ee-4c94-b19b-2b3771256176	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2016	MD Anderson Cancer Center	48	22	2011-10-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.92	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	30	70
33b7f8de-f39f-4ca5-81f5-65f655aa86d4	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A30B	UNC	48	23	2013-06-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	209	1.82	1.76	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	20
ec433d71-d8f6-4144-9734-d59e84488619	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A34R	Ohio State University	48	23	2013-11-25	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	210	1.51	1.91	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.34	0.18	5	95
b5c762e7-947c-4642-b01b-98817591b08c	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2016	MD Anderson Cancer Center	48	22	2011-10-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.22	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	30	70
8bcb376c-6fc7-44f5-b1ea-c8e86a3c1fa6	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1514	Vanderbilt University	48	22	2011-01-19	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	100	1.7	1.7	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.27	0.16	20	80
d7a3757d-eb85-419c-91d5-e79a4f937c99	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1873	Vanderbilt University	48	22	2011-07-06	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	100	1.67	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	1.73	0.13	20	80
11557e60-5cf5-4fe3-bed1-6332af5fc213	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1686	University Health Network, Toronto	48	22	2011-04-20	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	100	1.6	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	10	80
6f26355d-7a14-426d-944c-5c95cc4bb8a2	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A28V	Johns Hopkins	48	23	2013-04-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	125	1.61	1.85	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.34	0.18	5	95
c6123662-1ac2-4255-bdc7-d940493c3d94	RNA-Seq	TCGA-HNSC	Solid Tissue Normal	NO	1915	MD Anderson Cancer Center	48	22	2011-07-27	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	NA	1.71	1.7	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	NA	NA
26f03627-31fb-4a86-8104-1e175987e5ea	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A31N	UNC	48	23	2013-07-24	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	214	1.71	1.86	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	20
37c022ba-1fab-4638-9c85-57c84e3a8182	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A28V	Asterand	48	23	2013-04-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	1043	1.65	1.87	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.34	0.18	0	50
2c930ae2-c406-4f91-90f8-b2da388e6702	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1686	University Health Network, Toronto	48	22	2011-04-20	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	107	1.5	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	5	70
ea24bfbc-c3a3-4d54-af23-105791665a8f	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1915	MD Anderson Cancer Center	48	22	2011-07-27	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.51	1.7	53	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	30	70
86647380-d5fb-4736-998e-f0d235424395	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2081	MD Anderson Cancer Center	48	22	2011-12-14	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.84	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	30	70
d2b15aaf-3260-4003-995c-160161874d4e	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1915	University Health Network, Toronto	48	22	2011-07-27	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	102	1.38	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	9	70
36fb0987-422f-45b1-b4fa-2e747af8a6e0	RNA-Seq	TCGA-HNSC	Solid Tissue Normal	NO	A31N	International Genomics Consortium	48	23	2013-07-24	mirVana (Allprep DNA) RNA	Distal (>2cm)	Illumina	RNA-Seq	NA	1.69	1.84	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	NA	NA
418436b6-50b6-49f6-a146-b35db392cfac	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1436	University of Pittsburgh	48	22	2010-11-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	133	1.5	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	30	70
b0f763e3-f780-4add-8ddd-9349cc2b3567	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2016	MD Anderson Cancer Center	48	22	2011-10-12	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.49	1.7	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	30	70
1621db74-96cc-4120-9a4e-422257792812	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1915	Greater Poland Cancer Center	48	22	2011-07-27	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	255	1.59	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	10	99
e9f329bf-d78a-43a2-be1e-bb52a4560f84	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1686	University Health Network, Toronto	48	22	2011-04-20	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	102	1.5	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	3.74	0.14	10	80
5cf27c03-30ae-4982-bdaf-4a7ca8c09273	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1915	University of Pittsburgh	48	22	2011-07-27	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	339	1.76	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	30	70
5db03558-1d6f-499b-af85-8faf095df033	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1873	University Health Network, Toronto	48	22	2011-07-06	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	103	1.76	1.8	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	20	70
00529fb2-f36d-4f50-abf7-01b4e46739b1	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1873	Greater Poland Cancer Center	48	22	2011-07-06	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	227	1.72	1.7	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	10	80
c8dddaa7-e1be-4228-9cda-dbb2adbd1f7e	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A39I	UNC	48	23	2014-04-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	323	1.75	1.84	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	5	50
7f7b6afd-b146-4d1b-87f5-02a22da3fb03	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	2132	MD Anderson Cancer Center	48	22	2012-01-11	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	1.8	NA	52	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	30	70
a8135435-2f2b-44b4-91e7-d3fe8df4a066	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A34R	St. University of Colorado Denver	48	23	2013-11-25	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	200	2.02	1.91	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.34	0.18	5	65
b5df0d9e-e9d4-43c5-bf0b-7a0bc5a1cb4e	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	A24Z	University Health Network, Toronto	48	23	2012-12-19	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	73	1.57	1.76	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.21	0.17	5	60
851da518-3399-4e1a-9568-9267085509a6	RNA-Seq	TCGA-HNSC	Primary Tumor	NO	1436	University of Pittsburgh	48	22	2010-11-30	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	135	1.6	1.8	53	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	30	70
