file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	read_length	read_num_selection
S30639_NSC-14_19-C-00124-01_DISTAL_S19	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A2	52	TRUE
S30640_NSC-19_19-C-00158-01_TUM_S20	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A2	52	TRUE
S30641_NSC-19_19-C-00159-01_PROX_S21	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A2	52	TRUE
S30642_NSC-19_19-C-00160-01_DISTAL_S22	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A2	52	TRUE
S30643_NSC-20_19-C-00168-01_TUM_S23	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A2	52	TRUE
S30644_NSC-20_19-C-00169-01_PROX_S24	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A2	52	TRUE
S30645_NSC-20_19-C-00170-01_DISTAL_S25	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A2	52	TRUE
S30646_NSC-23_19-C-00177-01_TUM_S2	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30647_NSC-23_19-C-00178-01_PROX_S3	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30648_NSC-23_19-C-00179-01_DISTAL_S4	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30649_NSC-26_19-C-00174-01_TUM_S5	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30650_NSC-26_19-C-00175-01_PROX_S6	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30651_NSC-26_19-C-00176-01_DISTAL_S7	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30652_NSC-28_19-C-00164-01_TUM_S8	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30653_NSC-28_19-C-00165-01_PROX_S9	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30654_NSC-28_19-C-00166-01_DISTAL_S10	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30655_NSC-31_20-C-00004-01_TUM_S11	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30656_NSC-31_20-C-00005-01_PROX_S12	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30657_NSC-31_20-C-00006-01_DISTAL_S13	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30658_NSC-34_20-C-00010-01_TUM_S14	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30659_NSC-34_20-C-00011-01_PROX_S15	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30660_NSC-34_20-C-00012-01_DISTAL_S16	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30661_NSC-37_20-C-00039-01_TUM_S17	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30662_NSC-37_20-C-00040-01_PROX_S18	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30663_NSC-37_20-C-00041-01_DISTAL_S19	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30664_NSC-40_20-C-00036-01_TUM_S20	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30665_NSC-40_20-C-00037-01_PROX_S21	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30666_NSC-40_20-C-00038-01_DISTAL_S22	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30667_NSC-42_20-C-00022-01_TUM_S23	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30668_NSC-42_20-C-00023-01_PROX_S24	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30669_NSC-42_20-C-00024-01_DISTAL_S25	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30670_NSC-43_20-C-00019-01_TUM_S26	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A3	52	TRUE
S30671_NSC-43_20-C-00020-01_PROX_S27	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A3	52	TRUE
S30672_NSC-43_20-C-00021-01_DISTAL_S28	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A3	52	TRUE
S30673_NSC-44_20-C-00031-01_TUM_S1	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A4	52	TRUE
S30674_NSC-44_20-C-00032-01_PROX_S2	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A4	52	TRUE
S30675_NSC-44_20-C-00033-01_DISTAL_S3	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A4	52	TRUE
S30676_NSC-45_20-C-00016-01_TUM_S4	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A4	52	TRUE
S30677_NSC-45_20-C-00017-01_PROX_S5	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A4	52	TRUE
S30678_NSC-45_20-C-00018-01_DISTAL_S6	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A4	52	TRUE
S30679_NSC-55_20-C-00058-01_TUM_S7	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A4	52	TRUE
S30680_NSC-55_20-C-00059-01_PROX_S8	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A4	52	TRUE
S30681_NSC-55_20-C-00060-01_DISTAL_S9	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A4	52	TRUE
S30682_NSC-56_20-C-00054-01_TUM_S10	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	TUM	NO	A4	52	TRUE
S30683_NSC-56_20-C-00055-01_PROX_S11	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	PROX	NO	A4	52	TRUE
S30684_NSC-56_20-C-00056-01_DISTAL_S12	illumina_Stranded_totalRNA_prep_ligtion_RiboZeroPlus	NSC	DISTAL	NO	A4	52	TRUE
