file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	hospital	read_length	source_center	date_of_shipment	experimental_protocol_type	normal_control_proximity_to_tumor	platform	experimental_strategy	library_name	instrument_model	design	center_name	tumor_sample_weight	ratio_28s_18s	a260_a280_ratio	percent_gc_content	volume	quantity	concentration	necrosis_percent	tumor_nuclei_percent
06826880-3e73-4e50-ba02-5d7f09418a40	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.1	1.8	51	26.7	4.01	0.15	20	70
9a2bfae6-4e26-4779-8139-f9599818d272	RNA-Seq	TCGA-READ	Primary Tumor	NO	1119	Indivumed	76	22	2010-07-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.5	1.8	53	26.7	4.01	0.15	20	70
21d5d6ba-5ea4-40d9-a867-130ae5336490	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Roswell Park	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	200	1.75	1.8	50	26.7	4.01	0.15	0	85
cc0c27bf-60da-4112-bee6-4b7046f2bbb8	RNA-Seq	TCGA-READ	Primary Tumor	NO	A002	Indivumed	76	23	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.7	1.7	53	26.7	4.01	0.15	20	70
13b3bddc-29b1-4c3d-95b7-8d8e21b2ad3d	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	MSKCC	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.3	1.8	49	26.7	3.74	0.14	0	70
c99ce566-0135-4c12-b548-56f4bfb33e56	RNA-Seq	TCGA-READ	Primary Tumor	NO	0826	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	0	1.8	52	26.7	4.27	0.16	20	70
73f16b07-863a-474f-8caf-18bab99e9da9	RNA-Seq	TCGA-READ	Recurrent Tumor	NO	1830	Roswell Park	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	NA	1.25	1.8	49	13.3	2	0.15	NA	NA
e6cd2ec4-4abf-4ce1-8396-73681714b7fe	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	Christiana Healthcare	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	238	1.59	1.8	49	26.7	4.01	0.15	5	80
01004ae4-1aa1-40af-ad79-3a1c1ca8a527	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	MSKCC	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	2	1.8	50	26.7	4.01	0.15	0	90
870133a4-4fec-4735-926a-f35c337b6b8a	RNA-Seq	TCGA-READ	Primary Tumor	NO	0826	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.6	1.8	53	26.7	4.27	0.16	20	70
d7413273-71d0-4173-a8f1-b9312d4b383a	RNA-Seq	TCGA-READ	Solid Tissue Normal	NO	1830	International Genomics Consortium	48	22	2011-06-22	Allprep RNA Extraction	Distal (>2cm)	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	NA	1.17	2	48	13.3	2	0.15	NA	NA
ad23ca07-f4e4-4633-baef-b8452aaf4c78	RNA-Seq	TCGA-READ	Primary Tumor	NO	0905	Indivumed	76	22	2010-04-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.2	1.8	57	26.7	4.01	0.15	20	70
95e91400-a892-47b5-a0f0-c7bf0159348c	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Christiana Healthcare	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	400	1.75	1.8	50	26.7	4.27	0.16	5	95
61d20592-f798-4714-ae9a-fa40b968bf18	RNA-Seq	TCGA-READ	Primary Tumor	NO	A32Z	Greater Poland Cancer Center	48	23	2013-10-02	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	375	1.47	1.7	49	13	2.08	0.16	20	99
e9734650-f108-4ba4-8b03-27cdcc48e92a	RNA-Seq	TCGA-READ	Primary Tumor	NO	1119	Indivumed	76	22	2010-07-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.7	1.8	53	26.7	4.01	0.15	20	70
17a29d2b-3dc0-4f77-b86a-8a1b4b567ab1	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	University of Pittsburgh	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	NA	2.12	1.7	49	13.3	2	0.15	NA	NA
e3241322-978d-4a95-872a-5ce967b2aba6	RNA-Seq	TCGA-READ	Primary Tumor	NO	1736	Asterand	48	22	2011-05-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	1212	1.66	1.7	50	26.7	4.54	0.17	0	95
fae5496f-0833-4974-843f-88f5e86d831b	RNA-Seq	TCGA-READ	Primary Tumor	NO	0826	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.7	1.8	52	26.7	4.27	0.16	20	70
95e43960-65a1-4a90-91d5-d66206c37e89	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.4	1.8	52	26.7	4.01	0.15	20	70
0bab1db4-90d5-4e73-be7d-2aa356e4e4b1	RNA-Seq	TCGA-READ	Primary Tumor	NO	1660	MSKCC	48	22	2011-04-06	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.8	1.7	49	26.7	4.01	0.15	0	70
8c780851-031c-4603-8f30-e0e9941d1f41	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	Asterand	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	781	1.67	1.8	50	13.3	2	0.15	0	80
c7f9ac91-e018-4ee3-b751-8b14fb299feb	RNA-Seq	TCGA-READ	Primary Tumor	NO	0905	Indivumed	76	22	2010-04-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.9	1.8	58	26.7	4.01	0.15	20	70
b6e908ee-def3-4d88-b986-2bcb0e8a8c57	RNA-Seq	TCGA-READ	Primary Tumor	NO	A155	University Of Michigan	48	23	2011-05-10	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	240	1.1	1.89	50	26.7	4.54	0.17	0	85
a755488b-a857-4949-8706-80fe1ee83700	RNA-Seq	TCGA-READ	Primary Tumor	NO	A32Z	MSKCC	48	23	2013-10-02	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	250	1.2	1.8	50	13	2.08	0.16	0	80
fee52a75-9837-49f0-9a7b-88c53f2f5675	RNA-Seq	TCGA-READ	Primary Tumor	NO	A002	Indivumed	76	23	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.8	1.66	52	26.7	4.01	0.15	20	70
10538428-e86a-4061-826b-4d84d42128d9	RNA-Seq	TCGA-READ	Primary Tumor	NO	A083	Indivumed	76	23	2010-09-22	mirVana (Allprep DNA) RNA	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.3	1.88	51	26.7	4.54	0.17	20	70
88065523-5e2e-459c-9864-252db22ac374	RNA-Seq	TCGA-READ	Primary Tumor	NO	1928	Greater Poland Cancer Center	48	22	2011-08-03	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	435	1.62	1.8	50	13.3	1.86	0.14	5	99
704c41a0-2355-45f4-80c3-7a37ae745b6b	RNA-Seq	TCGA-READ	Primary Tumor	NO	1830	Christiana Healthcare	48	22	2011-06-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	218	1.43	1.8	50	13.3	1.86	0.14	5	60
adb45984-11cc-4889-a4e6-a3e9760440a7	RNA-Seq	TCGA-READ	Primary Tumor	NO	0821	Indivumed	76	22	2010-02-22	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.6	1.8	53	26.7	3.74	0.14	20	70
66b56c84-fb00-4e46-b23f-e6e4d2cff38a	RNA-Seq	TCGA-READ	Primary Tumor	NO	1119	Indivumed	76	22	2010-07-14	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	Illumina TruSeq	Illumina Genome Analyzer II	TCGA RNA-Seq Single-End Experiment	UNC-LCCC	100	1.5	1.8	53	26.7	4.01	0.15	20	70
